indicator.id;indicator.long_name;indicator.description;indicator.code;indicator.unit_id
678;Валовая добавленная стоимость малого и среднего предпринимательства (МСП);;C707;7
238;Фонд заработной платы всех работников организаций, всего;;C241;7
669;Налогооблагаемые денежные доходы физических лиц и инд. предпринимателей;;C698;7
679;Налоговые доходы бюджетов всех уровней;;C708;7
682;Денежные доходы населения на 1 жителя;;C712;40
684;Реальные располагаемые доходы на 1 жителя;;C714;40
298;Прибыль (убыток) до налогообложения прошлого года, всего, в т.ч.:;;C301;7
677;Валовый городской продукт (ВГП);;C706;7
680;Доходы местного бюджета (налоговые и неналоговые);Рассчитывается как C709=C049-C063. Договоренность с МСП и Эверпоинт в феврале 2021 года.;C709;7
1069;Доходы бюджета, в том числе: за пользование биотой( растения, животный и водный мир), млн.руб;используется для экологии;C1151;
1070;Доходы бюджета, в том числе: Плата за негативное воздействие на воздух, млн.руб;используется для экологии;C1130;
988;Загрязнение воздуха, тонн;Используется в стенде по экологии;C1070;16
989;Загрязнение воды, тонн;Используется в стенде по экологии;C1071;16
990;Загрязнение земли, тонн;Используется в стенде по экологии;C1072;16
1045;Обеспеченность оборотными средствами;;C975;3
34;Число умерших;;C035;13
1242;Дефлятор ВВП;;C1302;8
687;Платежный баланс (сальдо импорта и экспорта) ;;C717;30
470;Выручка (За отчетный период);;C475;7
262;Среднемесячная заработная плата работников организаций, в том числе по ОКВЭД Раздел D Обеспечение электрической энергией, газом и паром;;C265;20
137;Заменено и отремонтировано уличной газовой сети за отчетный год;;C140;19
150;Переселено из ветхих и аварийных жилых домов за отчетный год;;C153;13
52;Доходы городского бюджета, в том числе: Единый сельскохозяйственный налог;;C053;7
38;Миграционный прирост (убыль);;C039;13
400;Результаты исследований и разработок (На отчетную дату отчетного периода);;C403;7
402;Нематериальные поисковые активы (На отчетную дату отчетного периода);;C405;7
404;Материальные поисковые активы (На отчетную дату отчетного периода);;C407;7
408;Доходные вложения в материальные ценности (На отчетную дату отчетного периода);;C411;7
