id;long_name;description;oktmo;okato;long_name_eng;type;region;latitude;longitude
55570;Аввакумовское;Тверская область;28620414;28220814000;;municipality;28;56.886044;36.063065
55585;Заволжское;Тверская область;28620418;28220818000;;municipality;28;56.845665;35.608852
55619;Каблуковское;Тверская область;28620424;28220824000;;municipality;28;56.83908;36.409615
55665;Красногорское;Тверская область;28620426;28220826000;;municipality;28;56.707466;35.527782
55695;Кулицкое;Тверская область;28620430;28220830000;;municipality;28;57.001347;35.72971
55818;Никулинский (д Никулино);Тверская область;28620448;28220848000;Nikulinsky (d Nikulino);municipality;28;56.803825;35.777554
55883;Тургиновское;Тверская область;28620476;28220876000;;municipality;28;56.493557;35.93873
55924;Черногубовское;Тверская область;28620478;28220878000;;municipality;28;56.932022;35.792156
55942;Щербининское;Тверская область;28620480;28220880000;;municipality;28;56.713463;36.052784
55380;Суховерково;Тверская область;28620163;28220563000;;municipality;28;56.6271;35.563778
43290;Бор;Нижегородская область;22712000;22412000;Bor city district;municipality;22;56.35652;44.064575
16955;Межселенные территории, входящие в состав территории муниципального района Заполярный район, кроме территорий городского и сельских поселений;;11811701;;;;;;
91415;Видное;Ленинский МО МО;46707000;;;;;;
3013;Новоалтайск;Алтайский край;1713000;1413000;Novoaltaisk city;municipality;1;53.411976;83.93111
3016;Рубцовск;Алтайский край;1716000;1416000;Rubtsovsk city;municipality;1;51.50121;81.20787
8495;Ачинск;Красноярский край;4703000;4403000;Achinsk city;municipality;4;56.25391;90.47944
8533;Норильск;Красноярский край;4729000;4429000;Norilsk city;municipality;4;69.349;88.20098
9386;Артемовский;Приморский край;5705000;5405000;Artemovskiy;municipality;5;43.35017;132.1596
9440;Находкинский;Приморский край;5714000;5414000;Nakhodkinsky;municipality;5;42.82394;132.8927
9463;Уссурийский;Приморский край;5723000;5423000;Ussuriysk;municipality;5;43.79718;131.9518
10251;Невинномысск;Ставропольский край;7724000;7424000;city ​​of Nevinnomyssk;municipality;7;44.6226;41.94767
16854;Северодвинск;Архангельская область;11730000;11430000;Severodvinsk;municipality;11;64.56254;39.81809
16957;Нарьян-Мар;Ненецкий автономный округ (Архангельская область);11851000;11111000;Naryan-Mar city;municipality;118;67.63797;53.00696
25665;Ковров;Владимирская область;17725000;17425000;​Kovrov city;municipality;17;56.35543;41.31706
25668;округ Муром;Владимирская область;17735000;17435000;Murom County;municipality;17;55.56303;42.02314
28069;Камышин;Волгоградская область;18715000;18415000;Kamyshin city;municipality;18;50.06515;45.38442
43284;Арзамас;Нижегородская область;22703000;22403000;Arzamas city;municipality;22;55.39458;43.84081
50579;Усолье-Сибирское;Иркутская область;25736000;25436000;Usolye-Sibirskoye;municipality;25;52.75658;103.6388
50796;городской округ город Назрань;Республика Ингушетия;26706000;26406000;urban district city of Nazran;municipality;26;43.22578;44.76458
2969;Барнаул;Алтайский край;1701000;1401000;Barnaul;city;1;53.347996;83.77981
10324;Пятигорск;Ставропольский край;7727000;7427000;the resort town of Pyatigorsk;municipality;7;44.04109;43.06616
50793;Магас;Республика Ингушетия;26701000;26401000;urban district of the city of Magas;municipality;26;43.16886;44.81312
65897;Обнинск;Калужская область;29715000;29415000;Obninsk city;municipality;29;55.09431;36.61216
67326;Беловский городской округ;Кемеровская область - Кузбасс;32707000;32407000;Belovsky urban district;municipality;32;54.4221;86.30374
67347;Киселевский городской округ;Кемеровская область - Кузбасс;32716000;32416000;Kiselevsky urban district;municipality;32;54.006;86.63661
77684;Евпатория;Республика Крым;35712000;35409000;Evpatoria;municipality;35;45.19063;33.36763
77690;Керчь;Республика Крым;35715000;35412000;Kerch;municipality;35;45.35626;36.46745
77737;Ялта;Республика Крым;35729000;35419000;Yalta;municipality;35;44.49536;34.16631
79759;Новокуйбышевск;Самарская область;36713000;36413000;Novokuibyshevsk;municipality;36;53.09946;49.94774
79779;Сызрань;Самарская область;36735000;36435000;Sizran;municipality;36;53.15587;48.47446
86279;Муниципальное образование «Город Всеволожск» Всеволожского муниципального района Ленинградской области;Ленинградская область;41612101;41212501000;Municipal formation 'City of Vsevolozhsk'"" of the Vsevolozhsk municipal district of the Leningrad region"";municipality;41;60.01913;30.64567
86472;Выборгский муниципальный район;Ленинградская область;41615000;41215000;Vyborg municipal district;municipality;41;;
86680;Гатчинский муниципальный район;Ленинградская область;41618000;41218000;Gatchinsky municipal district;municipality;41;;
91078;Елец;Липецкая область;42715000;42415000;Yelets town;municipality;42;52.61524;38.52893
91092;Магадан;Магаданская область;44701000;44401000;the city of Magadan;municipality;44;59.56813;150.8085
91743;Домодедово;Московская область;46709000;46209000;Domodedovo;municipality;46;;
92377;Долгопрудный;Московская область;46716000;46416000;Dolgoprudny;municipality;46;55.9386;37.5101
92380;Дубна;Московская область;46718000;46418000;Dubna;municipality;46;56.74179;37.17572
