id,oktmo,indicator,okved,scenario,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100,Y2101,Y2102,Y2103,Y2104,Y2105,Y2106,Y2107,Y2108,Y2109,Y2110,Y2111,Y2112,Y2113,Y2114,Y2115,Y2116,Y2117,Y2118,Y2119,Y2120,Y2121
263367,05701000,C1043,27,dyn_use,,-3081.9963,-2817.7112,-2580.9448,-2373.3975,-2198.2336,-2065.8516,-1992.3883,-1993.2993,-2081.499,-2265.2827,-2544.9006,-2915.4001,-3365.5425,-3880.901,-4212.6875,-4536.1147,-4842.8267,-5127.022,-5382.3506,-5606.575,-5797.8613,-5958.2837,-6195.5396,-6640.422,-7060.3345,-7453.2544,-7817.378,-8152.746,-8459.789,-8739.324,-8993.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263368,05701000,C1043,28,dyn_high,,,,,,,,,,,,,,,-5382.8945,-5784.7754,-6191.3467,-6585.221,-6956.0195,-7293.172,-7591.9736,-7846.7974,-8149.5566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263369,05701000,C1043,28,dyn_low,,,,,,,,,,,,,,,-4032.9497,-4549.759,-5067.537,-5569.1206,-6044.6416,-6483.8564,-6884.0776,-7243.595,-7477.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263370,05701000,C1043,28,dyn_use,,-3700.1462,-3382.854,-3098.5999,-2849.425,-2639.129,-2480.1953,-2391.9976,-2393.0916,-2498.9812,-2719.626,-3055.3262,-3500.136,-4040.5627,-4659.2856,-5130.2373,-5601.3286,-6055.897,-6484.339,-6876.618,-7229.366,-7539.166,-7806.196,-8117.0347,-8699.894,-9250.039,-9764.819,-10241.873,-10681.253,-11083.523,-11449.754,-11782.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263371,05701000,C1043,29,dyn_high,,,,,,,,,,,,,,,-3978.0664,-4646.856,-5355.9014,-6072.301,-6773.105,-7433.5195,-8038.7876,-8574.285,-9136.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263372,05701000,C1043,29,dyn_low,,,,,,,,,,,,,,,-2980.4304,-3654.7786,-4383.736,-5135.344,-5885.6924,-6608.63,-7289.23,-7915.16,-8382.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263373,05701000,C1043,29,dyn_use,,-2734.482,-2499.9966,-2289.927,-2105.782,-1950.3689,-1832.9138,-1767.734,-1768.5424,-1846.797,-2009.858,-2257.947,-2586.6704,-2986.0566,-3443.305,-4121.0713,-4845.4985,-5584.2056,-6313.827,-7008.95,-7654.84,-8238.134,-8751.478,-9099.957,-9753.396,-10370.16,-10947.278,-11482.1,-11974.686,-12425.669,-12836.247,-13209.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263374,05701000,C1043,30,dyn_high,,,,,,,,,,,,,,,-2344.5454,-2584.7266,-2827.8237,-3065.648,-3291.7197,-3499.273,-3684.8755,-3845.192,-4024.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263375,05701000,C1043,30,dyn_low,,,,,,,,,,,,,,,-1756.5706,-2032.9021,-2314.5369,-2592.618,-2860.4385,-3110.9624,-3341.288,-3549.603,-3692.7874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263376,05701000,C1043,30,dyn_use,,-1611.6163,-1473.4182,-1349.61,-1241.0807,-1149.4852,-1080.2609,-1041.846,-1042.3224,-1088.4432,-1184.5461,-1330.762,-1524.501,-1759.8865,-2029.3741,-2292.2688,-2558.3398,-2819.2292,-3068.5112,-3299.41,-3508.879,-3694.4424,-3855.2168,-4008.7297,-4296.584,-4568.282,-4822.515,-5058.1157,-5275.111,-5473.7783,-5654.647,-5818.8853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
