okved.id;okved.okved;okved.lvl1;okved.lvl2;okved.short_name;okved.description;okved.long_name
1;всего;;;Все значения;;Все возможные значения
90;A 01;;;Натур.хоз.;;Растениеводство, животноводство, охота и предоставление услуг в этих областях
91;A 02;;;Лесоводство;;Лесоводство и лесозаготовки
92;A 03;;;Рыболовство;;Рыболовство и рыбоводство
93;B (05-09);;;Добыча ископ.;;Добыча полезных ископаемых
94;C (10-12);;;Пищ. и напит.;;Производство пищевых  продуктов,  напитков, табачных изделий
95;C (13-15);;;Одежда, ткань;;Производство текстильных изделий, одежды, кожаной и относящейся к ней продукции
96;C 16;;;Древесина;;Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения
97;C 17;;;Бумага;;Производство бумаги и бумажных изделий
98;C 18;;;Полиграфия;;Деятельность полиграфическая и копирование носителей информации
99;C 19;;;Кокс и нефть;;Производство кокса и нефтепродуктов
100;C 20;;;Химич. вещ.;;Производство химических веществ и химических продуктов
101;C 21;;;Фармацевтика;;Производство лекарственных средств и материалов, применяемых в медицинских целях
102;C 22;;;Резин. и пласт.;;Производство резиновых и пластмассовых изделий
103;C 23;;;Минералы;;Производство прочей неметаллической минеральной продукции
104;C 24;;;Металлургия;;Производство металлургическое
105;C 25;;;Метал. изд.;;Производство готовых металлических изделий, кроме машин и оборудования
106;C 26;;;Электроника;;Производство компьютеров, электронных и оптических изделий
107;C 27;;;Эл. оборуд.;;Производство электрического оборудования
108;C 28;;;Маш. и обор.;;Производство машин и оборудования, не включенных в другие группировки
109;C 29;;;Автомобили;;Производство автотранспортных средств, прицепов и полуприцепов
110;C 30;;;Трансп. ср.;;Производство прочих транспортных средств и оборудования
111;C (31-32);;;Мебель;;Производство мебели, прочих готовых изделий
112;C 33;;;Рем. оборуд.;;Ремонт и монтаж машин и оборудования
113;D 35;;;Энергетика;;Обеспечение электрической энергией, газом и паром/ кондиционирование воздуха
114;E 36;;;Водоснабж.;;Забор, очистка и распределение воды
115;E (37-39);;;Стоки и отх.;;Сбор и обработка сточных вод/ сбор, обработка и утилизация отходов/ предоставление услуг в области ликвидации последствий загрязнений и прочих услуг, связанных с удалением отходов
116;F (41-43);;;Строительство;;Строительство
117;G 45;;;Торг. авто.;;Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт
118;G 46;;;Оптов. торг.;;Торговля оптовая,  кроме оптовой торговли автотранспортными средствами и мотоциклами
119;G 47;;;Рознич. торг.;;Торговля розничная, кроме розничной торговли автотранспортными средствами и мотоциклами
120;H 49;;;Транспорт;;Деятельность сухопутного и трубопроводного транспорта
121;H 50;;;Водн. трансп.;;Деятельность водного транспорта
122;H 51;;;Возд. трансп.;;Деятельность воздушного и космического транспорта
123;H 52;;;Склады и лог.;;Складское хозяйство и вспомогательная транспортная деятельность
